Name,Url,Authority,Started On,Finished On,License Number
BUS501: Strategic Management,https://learn.saylor.org/admin/tool/certificate/index.php?code=6967057178MM,Saylor University,May 2026,,6967057178MM
Language in professional life,https://www.open.edu/openlearn/,The Open University,2026,,
Risk Management,https://www.open.edu/openlearn/,The Open University,May 2026,,
BUS607: Data-Driven Decision-Making,https://learn.saylor.org/admin/tool/certificate/index.php?code=3057055649MM,Saylor University,May 2026,,3057055649MM
"Cash Handling Fundamentals: Counting, Verifying, and Balancing the Drawer",https://cursa.app/en/my-certificate/cert33eae4065427a286bb392c4b61744934,Cursa - Free online courses with Certificate,May 2026,,33eae4065427a286bb392c4b61744934
BUS602: Marketing Management,https://learn.saylor.org/admin/tool/certificate/index.php?code=1889120492MM,Saylor University,May 2026,,1889120492MM
Claude 101,https://verify.skilljar.com/c/uyw8nfswxo9j,Anthropic,May 2026,,
Claude Code 101,https://verify.skilljar.com/c/pdyfdnxeiybz,Anthropic,May 2026,,
Introduction to Claude Cowork,https://verify.skilljar.com/c/8buupybzxy2s,Anthropic,May 2026,,
Claude Code in Action,https://verify.skilljar.com/c/pvyiq4sabxjo,Anthropic,May 2026,,
AI Fluency: Framework & Foundations,https://verify.skilljar.com/c/gnkbjz7bkfsr,Anthropic,May 2026,,
Claude with the Anthropic API,https://verify.skilljar.com/c/6j4a7nfwdauc,Anthropic,May 2026,,
Introduction to Model Context Protocol,https://verify.skilljar.com/c/e8bdy7q33vem,Anthropic,May 2026,,
AI Fluency for educators,https://verify.skilljar.com/c/v4j6jhteq5mn,Anthropic,May 2026,,
AI Fluency for students,https://verify.skilljar.com/c/53kqaqvhdhg9,Anthropic,May 2026,,
Model Context Protocol: Advanced Topics,https://verify.skilljar.com/c/9ac5weomwb5b,Anthropic,May 2026,,
Claude with Amazon Bedrock,https://verify.skilljar.com/c/ijrd9ekj5d2r,Anthropic,May 2026,,
Introduction to agent skills,https://verify.skilljar.com/c/48qk4ssfy8vs,Anthropic,May 2026,,
Introduction to subagents,https://verify.skilljar.com/c/yps4vomw5eyh,Anthropic,May 2026,,
AI Capabilities and Limitations,https://verify.skilljar.com/c/6hyzyna8bk86,Anthropic,May 2026,,
Claude with Google Cloud's Vertex AI,https://verify.skilljar.com/c/9c99vf6phc7e,Anthropic,May 2026,,
AI Fluency for nonprofits,https://verify.skilljar.com/c/k9xw5rud6cpy,Anthropic,May 2026,,
Teaching AI Fluency,https://verify.skilljar.com/c/ajcq4rfrbu3m,Anthropic,May 2026,,
Credit Analyst,https://www.theforage.com/completion-certificates/ZsgybEFo5RxyHxwXL/TwxTEuyPugfgMGm8H_ZsgybEFo5RxyHxwXL_69f15d41409dc5f29354526a_1778426106214_completion_certificate.pdf,Standard Chartered,May 2026,,jZtHJjurae4JfkN37
Financial Services Regulation,https://www.theforage.com/completion-certificates/nxah4kANBvKsif7RL/AZyRfectsEhjP83ew_nxah4kANBvKsif7RL_69f15d41409dc5f29354526a_1778427652609_completion_certificate.pdf,Herbert Smith Freehills,May 2026,,EDPrnpi7uEBPzhkSS
Cyber Security,https://www.theforage.com/completion-certificates/qbcPPWhE6mhQeKgdy/33CKX5eTKH3dXer7X_qbcPPWhE6mhQeKgdy_69f15d41409dc5f29354526a_1778428089405_completion_certificate.pdf,Clifford Chance,May 2026,,57fNPLRmmCZ9k4sC8
Data Visualisation: Empowering Business with Effective Insights,https://www.theforage.com/completion-certificates/ifobHAoMjQs9s6bKS/MyXvBcppsW2FkNYCX_ifobHAoMjQs9s6bKS_69f15d41409dc5f29354526a_1778587429511_completion_certificate.pdf,Tata Group,May 2026,,z9cEW8Cr3q5ttwefD
Global Cyber with Data Privacy,https://www.theforage.com/completion-certificates/uxGH3sjkNN8brpyKQ/BF9cCduWYEyMJiLea_uxGH3sjkNN8brpyKQ_69f15d41409dc5f29354526a_1778587954141_completion_certificate.pdf,DLA Piper,May 2026,,wgTEf8TFAHZpnd6Y2
